account_id,user_id,bank_id,account_number,account_type,balance,account_status,opening_date
ACC00001,U01311,B027,611651219937,Savings,470204,Active,3/23/2014
ACC00002,U03586,B016,507898500203,Savings,238593,Active,5/19/2018
ACC00003,U01279,B003,357228969372,Savings,366079,Active,10/20/2011
ACC00004,U03406,B003,575634289801,Savings,158650,Active,1/23/2010
ACC00005,U01664,B026,854183349329,Savings,226260,Active,8/19/2015
ACC00006,U03840,B014,761656116479,Savings,337550,Active,9/6/2022
ACC00007,U03399,B013,744648006640,Savings,51024,Active,10/9/2022
ACC00008,U03070,B016,291478542340,Savings,226361,Active,5/25/2024
ACC00009,U00670,B020,644861519387,Savings,166741,Active,5/18/2018
ACC00010,U00500,B015,208687003731,Savings,440802,Active,9/8/2023
ACC00011,U00537,B025,685007429329,Savings,388345,Active,11/3/2014
ACC00012,U02635,B022,290145142045,Savings,46812,Active,7/14/2013
ACC00013,U03581,B027,838630238788,Savings,126243,Active,6/8/2018
ACC00014,U04052,B015,461346643662,Savings,238957,Active,7/23/2015
ACC00015,U03369,B025,227007141083,Savings,151343,Active,11/5/2014
ACC00016,U02750,B010,868558771414,Savings,133100,Active,6/6/2014
ACC00017,U01809,B027,254281997655,Savings,372154,Active,1/16/2020
ACC00018,U04184,B024,387982539033,Savings,66183,Active,7/14/2012
ACC00019,U03471,B019,875981693951,Savings,259622,Active,4/14/2018
ACC00020,U01177,B005,939183781895,Savings,287814,Active,7/23/2017
ACC00021,U01426,B024,410525725828,Savings,193914,Active,9/17/2016
ACC00022,U01672,B011,433215314300,Savings,201779,Active,7/9/2015
ACC00023,U04820,B024,987021123054,Savings,281232,Active,5/7/2013
ACC00024,U00150,B019,775020824501,Savings,186636,Active,6/18/2015
ACC00025,U00635,B013,289971207231,Savings,220272,Active,10/6/2010
ACC00026,U02226,B003,511353201435,Savings,181209,Active,7/14/2010
ACC00027,U04905,B012,106561197161,Savings,372713,Active,7/30/2022
ACC00028,U01333,B001,197398938622,Savings,237726,Active,4/19/2015
ACC00029,U00041,B024,422515340302,Savings,237040,Active,5/22/2015
ACC00030,U02138,B030,937151799861,Current,19030,Active,8/3/2011
ACC00031,U04542,B011,776903725317,Savings,23497,Active,9/18/2016
ACC00032,U04282,B011,764093295396,Savings,183119,Active,7/23/2013
ACC00033,U00347,B004,406476616570,Savings,492884,Active,1/8/2016
ACC00034,U03120,B018,611013307784,Savings,355835,Active,6/23/2020
ACC00035,U01331,B014,526303313905,Savings,394432,Active,10/20/2011
ACC00036,U03749,B020,991118534369,Savings,146054,Active,1/7/2015
ACC00037,U04509,B013,612133559152,Savings,213664,Active,11/7/2012
ACC00038,U04116,B020,643275736513,Savings,26851,Active,9/23/2024
ACC00039,U02223,B018,137182618489,Savings,469245,Active,12/10/2017
ACC00040,U03234,B020,499079373815,Savings,101760,Active,3/14/2020
ACC00041,U03658,B025,287293982957,Savings,78515,Active,4/9/2019
ACC00042,U00652,B024,995777234291,Current,450386,Active,6/3/2015
ACC00043,U02692,B001,163657478228,Savings,425582,Active,4/26/2013
ACC00044,U02630,B012,822381215423,Savings,118004,Active,3/28/2012
ACC00045,U01340,B030,389879321453,Savings,323275,Active,3/23/2013
ACC00046,U04288,B017,123936648408,Savings,495782,Active,8/6/2014
ACC00047,U04533,B001,187633191602,Current,322592,Active,12/14/2013
ACC00048,U02751,B020,207903035381,Savings,341789,Active,10/14/2013
ACC00049,U02975,B012,486974144750,Savings,497979,Active,1/31/2015
ACC00050,U00761,B008,909248478398,Savings,43913,Active,6/23/2023
ACC00051,U01780,B023,553812555593,Savings,371222,Active,12/29/2022
ACC00052,U04505,B029,978797429696,Savings,169389,Active,4/14/2010
ACC00053,U01860,B008,678432268155,Savings,72593,Active,10/1/2021
ACC00054,U00213,B023,528583568279,Savings,109322,Active,6/14/2014
ACC00055,U01848,B026,487408214617,Savings,461910,Active,7/11/2010
ACC00056,U04515,B026,781845810702,Savings,417009,Active,10/21/2020
ACC00057,U04591,B008,531225643993,Savings,434222,Active,6/5/2016
ACC00058,U03563,B029,645288616142,Savings,53412,Active,3/12/2011
ACC00059,U02217,B021,279303527057,Savings,125956,Active,11/16/2012
ACC00060,U00002,B018,588041839345,Savings,5741,Active,1/18/2011
ACC00061,U00132,B001,214134888543,Savings,157217,Active,8/16/2015
ACC00062,U03275,B029,928727563294,Savings,338946,Active,8/20/2018
ACC00063,U00532,B025,630683291332,Savings,246659,Active,7/7/2012
ACC00064,U03218,B001,916963585083,Savings,492650,Active,3/17/2012
ACC00065,U02180,B029,842903694651,Savings,192328,Active,9/6/2012
ACC00066,U00554,B004,613959808414,Savings,247980,Active,9/13/2017
ACC00067,U02479,B001,654008200291,Savings,416855,Active,2/3/2018
ACC00068,U00244,B015,230418213434,Savings,161315,Active,10/1/2013
ACC00069,U01905,B004,160330742246,Savings,98349,Active,10/17/2020
ACC00070,U00901,B002,966991009665,Savings,220818,Active,11/9/2016
ACC00071,U02963,B010,636770597596,Savings,478435,Active,8/30/2013
ACC00072,U00169,B021,412377807211,Savings,370794,Active,8/1/2011
ACC00073,U02219,B009,242928183643,Savings,126130,Active,5/9/2019
ACC00074,U01689,B022,979084318982,Savings,352417,Active,8/26/2011
ACC00075,U04303,B016,769089112857,Savings,213263,Active,6/14/2022
ACC00076,U01420,B002,226239351445,Current,52296,Active,8/18/2019
ACC00077,U01376,B016,864587444548,Savings,243826,Active,3/22/2023
ACC00078,U02389,B002,834187478933,Savings,446025,Active,9/5/2017
ACC00079,U02616,B001,781236951317,Savings,494499,Active,11/15/2016
ACC00080,U00213,B020,658251696966,Savings,261041,Active,7/20/2020
ACC00081,U04330,B024,554978204397,Savings,479091,Active,4/29/2016
ACC00082,U01992,B008,418693794759,Current,463797,Active,4/13/2010
ACC00083,U00941,B028,235475509672,Savings,327591,Active,9/4/2014
ACC00084,U03311,B021,590165246695,Savings,412838,Active,1/17/2013
ACC00085,U00368,B010,925908422995,Savings,264997,Active,4/27/2013
ACC00086,U04220,B008,331594403843,Savings,390443,Active,1/15/2022
ACC00087,U04063,B004,509009973498,Savings,216309,Active,12/25/2015
ACC00088,U01069,B011,147499903211,Savings,41051,Active,7/19/2017
ACC00089,U02197,B020,607171760742,Savings,132638,Active,4/21/2012
ACC00090,U02532,B024,905164538445,Savings,232412,Active,3/3/2016
ACC00091,U02177,B010,934349675845,Savings,213063,Active,7/28/2011
ACC00092,U03383,B023,496528339234,Savings,84869,Active,7/10/2021
ACC00093,U03670,B023,235347474421,Savings,382901,Active,10/11/2018
ACC00094,U04150,B010,541190826634,Savings,166749,Active,2/16/2013
ACC00095,U03169,B020,458096877791,Savings,96223,Active,4/3/2014
ACC00096,U00197,B008,905294823028,Savings,342242,Active,6/5/2016
ACC00097,U02614,B015,586839183708,Savings,246474,Active,11/7/2017
ACC00098,U02835,B012,921467013168,Savings,346442,Active,11/13/2021
ACC00099,U04862,B011,399928933344,Savings,226093,Active,10/16/2012
ACC00100,U00867,B008,628180499590,Savings,53822,Active,10/15/2015
ACC00101,U02677,B023,390981899612,Savings,427008,Active,2/17/2016
ACC00102,U03382,B030,408244393332,Savings,99746,Active,10/6/2015
ACC00103,U02114,B019,836723266441,Savings,334105,Active,8/2/2017
ACC00104,U04047,B021,248934115518,Savings,370683,Active,11/8/2017
ACC00105,U02666,B014,125674613183,Current,180052,Active,8/23/2014
ACC00106,U00345,B028,557032014521,Savings,232053,Active,7/30/2014
ACC00107,U00135,B006,250562829802,Savings,410114,Active,4/17/2010
ACC00108,U03310,B016,189852178610,Savings,150610,Active,10/25/2016
ACC00109,U02759,B011,578360433218,Savings,158275,Active,6/30/2022
ACC00110,U03343,B001,485298980079,Savings,130152,Active,1/9/2017
ACC00111,U03698,B002,728711018728,Savings,257928,Active,3/6/2022
ACC00112,U02135,B029,525797222370,Savings,10509,Active,9/26/2011
ACC00113,U04496,B003,812095081619,Savings,448510,Active,4/29/2012
ACC00114,U01649,B018,704705483988,Savings,323847,Active,8/22/2015
ACC00115,U01099,B002,854918050590,Savings,245889,Active,1/27/2013
ACC00116,U03170,B018,446949015009,Savings,316360,Active,7/19/2010
ACC00117,U04525,B006,335984679691,Savings,145625,Active,4/10/2011
ACC00118,U03547,B010,948340873682,Savings,177665,Active,10/21/2018
ACC00119,U02804,B019,177331263608,Savings,257517,Active,4/26/2010
ACC00120,U03894,B020,680284739362,Savings,433272,Active,6/20/2022
ACC00121,U01682,B029,810535286579,Savings,350396,Active,3/12/2012
ACC00122,U00178,B028,135809299600,Savings,414711,Active,9/15/2014
ACC00123,U02260,B023,670199184061,Current,347565,Active,12/29/2018
ACC00124,U02394,B002,393785680494,Savings,129177,Active,10/16/2014
ACC00125,U02122,B021,211774460827,Savings,279192,Active,7/1/2010
ACC00126,U00688,B010,211246195695,Current,391100,Active,11/14/2020
ACC00127,U00281,B003,231905517670,Savings,377179,Active,5/25/2013
ACC00128,U02527,B011,161632416946,Savings,305635,Active,6/23/2013
ACC00129,U00082,B003,514533881828,Savings,177619,Active,3/23/2014
ACC00130,U00017,B023,258693411415,Savings,471602,Active,12/20/2013
ACC00131,U02925,B010,881687251402,Savings,59476,Active,2/25/2014
ACC00132,U03741,B020,442517343753,Savings,224251,Active,8/11/2011
ACC00133,U01846,B005,387983245739,Savings,407645,Active,5/18/2019
ACC00134,U04405,B021,827606076498,Savings,234886,Active,12/17/2013
ACC00135,U01074,B019,483760828880,Savings,224393,Active,2/15/2020
ACC00136,U03362,B010,734139281656,Savings,199140,Active,12/29/2019
ACC00137,U02604,B014,158542335265,Savings,2814,Active,12/24/2018
ACC00138,U02353,B014,708838858060,Savings,139769,Active,9/17/2014
ACC00139,U03234,B030,317737716705,Savings,208777,Active,8/16/2011
ACC00140,U03195,B026,979970663632,Savings,416303,Active,10/7/2024
ACC00141,U03892,B004,878348172878,Savings,385169,Active,8/20/2010
ACC00142,U04272,B011,896257305231,Savings,68897,Active,6/15/2017
ACC00143,U03532,B014,416111057870,Savings,328089,Active,8/19/2021
ACC00144,U03373,B012,384095493011,Savings,246900,Active,1/1/2011
ACC00145,U04053,B024,233802571797,Savings,119935,Active,12/28/2019
ACC00146,U00474,B004,184353887895,Savings,478958,Active,3/2/2019
ACC00147,U01176,B011,892780092907,Savings,156929,Active,8/8/2010
ACC00148,U02437,B028,235760519056,Savings,480361,Active,8/12/2019
ACC00149,U04276,B015,573906282922,Savings,313177,Active,9/19/2012
ACC00150,U04779,B018,435099641416,Savings,94201,Active,3/2/2021
ACC00151,U01113,B003,864276239165,Savings,221727,Active,1/7/2019
ACC00152,U02990,B016,985419561310,Savings,182255,Active,6/9/2020
ACC00153,U01056,B004,784043939568,Savings,334060,Active,5/13/2016
ACC00154,U02531,B009,807338053612,Savings,71189,Active,11/17/2013
ACC00155,U01841,B004,338909297617,Savings,334500,Active,5/3/2021
ACC00156,U03695,B003,494248788722,Savings,137355,Active,8/19/2014
ACC00157,U03505,B017,444249179739,Savings,15430,Active,9/29/2015
ACC00158,U01583,B016,280857576736,Savings,118264,Active,12/9/2018
ACC00159,U03799,B027,435842982099,Savings,97721,Active,5/18/2015
ACC00160,U02786,B016,540859803733,Savings,37377,Active,2/10/2017
ACC00161,U00329,B021,125710042477,Savings,159572,Active,5/29/2010
ACC00162,U04051,B004,219115516841,Savings,62240,Inactive,7/21/2012
ACC00163,U03464,B009,197957982249,Savings,433049,Active,5/2/2017
ACC00164,U01259,B012,392045071436,Savings,343039,Active,1/31/2018
ACC00165,U01996,B010,529099566512,Savings,356180,Active,4/27/2010
ACC00166,U00675,B005,638304347707,Savings,452976,Active,12/17/2019
ACC00167,U02126,B003,255121382990,Current,417044,Active,2/25/2023
ACC00168,U04307,B006,247451253820,Savings,87655,Active,3/3/2012
ACC00169,U00925,B022,811532204453,Savings,16661,Active,10/29/2020
ACC00170,U00644,B010,856808173985,Current,199124,Active,3/22/2013
ACC00171,U04550,B008,729295872413,Savings,493986,Active,12/28/2014
ACC00172,U02242,B018,449739174048,Savings,143131,Active,1/11/2016
ACC00173,U04402,B026,246736650754,Current,61669,Active,4/5/2011
ACC00174,U03125,B014,356904445482,Current,254151,Active,8/20/2015
ACC00175,U02715,B028,552548633035,Savings,48217,Active,2/26/2017
ACC00176,U04982,B004,871212130676,Savings,456190,Active,3/12/2025
ACC00177,U00454,B019,498067297126,Savings,44891,Active,2/22/2014
ACC00178,U00490,B020,827117721935,Savings,301575,Active,1/2/2015
ACC00179,U04950,B010,440774736198,Savings,393434,Active,10/9/2010
ACC00180,U03587,B012,805953703143,Savings,382505,Active,4/23/2015
ACC00181,U00048,B005,329975617314,Savings,225216,Active,3/26/2016
ACC00182,U01367,B029,485271361335,Savings,51810,Active,12/28/2010
ACC00183,U02592,B029,634248858571,Savings,282450,Active,2/2/2012
ACC00184,U01562,B014,125379410900,Savings,476359,Active,8/19/2014
ACC00185,U04354,B008,791131172417,Savings,442668,Active,9/21/2023
ACC00186,U01785,B006,148874680930,Savings,380531,Active,2/18/2011
ACC00187,U04388,B015,321797783556,Savings,13346,Active,8/20/2016
ACC00188,U04301,B024,206714651131,Savings,466703,Active,7/29/2011
ACC00189,U00608,B028,826840663838,Savings,98460,Active,6/23/2019
ACC00190,U04585,B028,207316079040,Savings,251621,Active,9/4/2011
ACC00191,U00284,B030,724221811635,Savings,360564,Active,2/19/2012
ACC00192,U01819,B027,166933339439,Savings,203624,Active,10/7/2024
ACC00193,U01653,B003,940580440475,Savings,463062,Active,1/26/2017
ACC00194,U00186,B029,642111827426,Savings,194245,Inactive,10/12/2017
ACC00195,U03600,B007,918807553134,Savings,254190,Active,10/10/2014
ACC00196,U01946,B018,679735848281,Savings,74723,Active,3/31/2022
ACC00197,U02321,B006,664981726924,Savings,404742,Active,2/5/2020
ACC00198,U00888,B023,328680697146,Savings,30653,Active,1/26/2012
ACC00199,U01085,B028,974717379052,Savings,378869,Active,11/9/2012
ACC00200,U03972,B004,464133675449,Savings,457228,Active,7/19/2015
ACC00201,U04165,B021,687771937603,Savings,126550,Active,6/8/2010
ACC00202,U04939,B024,985248387124,Savings,156909,Active,11/13/2015
ACC00203,U04329,B018,277657889211,Savings,275722,Active,9/2/2014
ACC00204,U04934,B004,828999969904,Savings,130560,Active,8/4/2016
ACC00205,U03061,B015,921087331896,Current,83304,Active,5/21/2010
ACC00206,U02033,B003,981141425163,Savings,405613,Active,1/18/2011
