user_id,first_name,last_name,gender,mobile_number,location_id,dob,registration_date,kyc_status
U00001,Aarav,Ali,Male,8291311248,L005,2/26/1984,5/30/2023,Verified
U00002,Salman,Nair,Male,6770738034,L015,7/20/1993,1/7/2019,Verified
U00003,Vivek,Sikdar,Male,8669438064,L018,3/4/1972,4/27/2021,Verified
U00004,Aparna,Syed,Female,7293540393,L039,2/28/2007,10/29/2024,Verified
U00005,Kishore,Reddy,Male,9299729446,L005,1/11/1958,1/21/2021,Verified
U00006,Uma,Pawar,Female,8400817759,L005,5/8/1979,6/25/2023,Verified
U00007,Harini,Khanna,Female,6745538637,L037,9/11/1996,2/11/2024,Verified
U00008,Rudra,Bhatia,Male,8543803486,L008,8/21/2002,6/1/2019,Verified
U00009,Vaishnavi,Gill,Female,9255218568,L013,7/29/1967,1/7/2023,Verified
U00010,Naresh,Pawar,Male,8288160707,L017,2/7/1973,11/9/2024,Verified
U00011,Ramesh,Shinde,Male,8988974496,L005,7/20/2006,9/26/2024,Verified
U00012,Divya,Arora,Female,9119322667,L011,6/24/1997,6/4/2023,Verified
U00013,Hemant,Menon,Male,7677824346,L003,8/3/1983,12/31/2018,Verified
U00014,Aryan,Shaikh,Male,9706824948,L021,6/17/1959,12/6/2018,Verified
U00015,Rakesh,Saha,Male,9246895339,L021,11/6/2001,6/28/2020,Verified
U00016,Ashish,Narang,Male,7490598526,L008,2/16/1984,8/20/2017,Verified
U00017,Sameer,Chatterjee,Male,6275499824,L042,7/31/2006,8/8/2017,Verified
U00018,Tushar,Saxena,Male,6720836874,L016,8/16/1966,6/4/2023,Verified
U00019,Deepak,Syed,Male,8135404160,L047,10/26/1962,5/2/2018,Pending
U00020,Madhuri,Ghosh,Female,7769360808,L030,6/1/1994,6/18/2017,Verified
U00021,Bhavesh,Nigam,Male,8997367705,L015,9/1/2007,8/23/2024,Verified
U00022,Advik,Pinto,Male,6956413932,L047,6/5/1971,5/26/2024,Verified
U00023,Hina,Deshmukh,Female,7400798266,L001,3/22/1993,6/17/2022,Verified
U00024,Jatin,Chopra,Male,8126203045,L010,12/12/2007,12/26/2022,Verified
U00025,Vedant,Gupta,Male,6926079912,L016,8/26/1994,10/2/2025,Verified
U00026,Lavanya,Rawat,Female,8962500906,L009,5/25/2006,1/28/2018,Verified
U00027,Simran,Ansari,Female,8436508228,L007,9/28/1990,11/12/2021,Verified
U00028,Tanvi,Mishra,Female,9339291802,L020,10/1/1991,10/29/2022,Verified
U00029,Kunal,Deshmukh,Male,7278342055,L043,11/22/1977,2/3/2020,Pending
U00030,Renu,Patel,Female,9447189727,L042,8/19/1993,9/13/2020,Verified
U00031,Monika,Roy,Female,8972736225,L029,6/29/2000,6/13/2017,Verified
U00032,Tanya,Ansari,Female,9159483365,L022,7/9/1962,5/12/2023,Verified
U00033,Bhavna,Sikdar,Female,7123261063,L048,8/14/2003,12/5/2021,Verified
U00034,Muskan,Hegde,Female,6297968774,L046,7/16/1972,6/1/2019,Verified
U00035,Rashmi,Joshi,Female,6114915722,L033,7/28/2002,7/5/2022,Verified
U00036,Ishita,Naidu,Female,8669403810,L041,3/12/1963,7/9/2017,Verified
U00037,Ishita,Ali,Female,7420901639,L025,11/13/1966,9/4/2019,Verified
U00038,Swati,Kapoor,Female,6435551218,L014,2/15/2001,2/11/2021,Verified
U00039,Ganesh,Chawla,Male,9664219369,L001,8/3/1998,7/8/2023,Verified
U00040,Vihaan,Ghosh,Male,8446799465,L022,4/1/1998,9/17/2025,Verified
U00041,Anu,Rana,Female,6201293261,L038,12/10/1977,8/28/2018,Verified
U00042,Monika,Yadav,Female,9216970810,L008,2/4/2005,10/18/2022,Verified
U00043,Tanya,Prasad,Female,7403739991,L001,6/27/1979,9/30/2022,Verified
U00044,Trisha,More,Female,9878091107,L009,12/18/1982,11/5/2022,Verified
U00045,Aditya,Pinto,Male,6186092802,L029,8/12/1960,7/24/2018,Verified
U00046,Sheetal,Pinto,Female,6672853116,L011,11/14/1958,10/29/2025,Verified
U00047,Sanjay,Kakkar,Male,7733563964,L014,7/14/1955,5/24/2020,Failed
U00048,Reyansh,Verma,Male,9123361231,L034,7/26/1960,9/14/2018,Verified
U00049,Pranav,Rawat,Male,9796168221,L024,9/9/1966,3/16/2018,Verified
U00050,Lavanya,Sharma,Female,7622181178,L002,2/13/1991,6/26/2021,Verified
U00051,Arjun,Narang,Male,9278900121,L013,1/8/1999,10/25/2025,Verified
U00052,Prachi,Bose,Female,8991606972,L006,12/18/1983,4/29/2025,Verified
U00053,Anjali,Bose,Female,7196500448,L023,12/17/1957,11/19/2023,Verified
U00054,Geeta,Mehta,Female,6550447901,L036,8/30/1980,8/28/2017,Verified
U00055,Uday,Sawant,Male,6135711886,L044,7/8/1999,9/14/2021,Verified
U00056,Sunil,Sengar,Male,8667892691,L004,4/15/1969,9/30/2017,Verified
U00057,Anusha,Sikdar,Female,7324465749,L013,9/1/1982,4/10/2021,Verified
U00058,Harsh,Bedi,Male,6614222060,L020,9/10/1974,1/18/2018,Pending
U00059,Rupal,Mathew,Female,6596164108,L009,11/29/1957,11/16/2022,Verified
U00060,Rehan,D'Souza,Male,6802882621,L028,5/27/1975,5/4/2025,Pending
U00061,Palak,Pillai,Female,9287595453,L041,6/30/1970,8/6/2022,Verified
U00062,Anjali,Rana,Female,9676221202,L048,7/7/1960,8/1/2021,Failed
U00063,Siddharth,Yadav,Male,8612069894,L007,4/7/1966,6/24/2023,Verified
U00064,Anil,Chopra,Male,6509537321,L022,2/12/1994,6/17/2019,Verified
U00065,Tanya,Saxena,Female,8414613775,L004,3/29/1990,4/29/2020,Verified
U00066,Navya,Kulkarni,Female,7134302549,L030,4/16/1968,1/4/2024,Verified
U00067,Alina,Mathew,Female,8216768724,L005,6/30/1961,5/15/2025,Verified
U00068,Rishabh,Nair,Male,7469040292,L040,2/12/1962,7/22/2019,Pending
U00069,Kusum,Mehta,Female,7777490120,L012,11/1/1972,3/14/2023,Verified
U00070,Kishore,Mehta,Male,6195018328,L020,7/15/1981,5/4/2019,Verified
U00071,Vivek,Chopra,Male,8886351293,L046,10/25/1991,11/21/2019,Verified
U00072,Monika,Rao,Female,7672714841,L011,6/13/2003,1/7/2020,Pending
U00073,Aarav,Jain,Male,6302587509,L022,11/17/2005,4/21/2023,Verified
